,PRICES,PRICE:
0,$12.00,"$12.00
      
"
1,$22.00,"$22.00
      
"
2,$30.00,"$30.00
      
"
3,$30.00,"$30.00
      
"
4,$32.00,"$32.00
      
"
5,$36.00,"$34.00
      
"
6,$37.00,"$37.00
      
"
7,$45.00,"$38.00
      
"
8,$45.00,"$38.00
      
"
9,$52.00,"$42.00
      
"
10,$58.00,"$45.00
      
"
11,$46.00,"$46.00
      
"
12,$64.00,"$54.00
      
"
