,DESCRIPTION:
0,Confetti Beaded Earrings In Black
1,Eyelets + Fringe Blush Scarf
2,Silky Satin Cami In Cayenne
3,Velvet Chevron Crossbody Clutch In Fuchsia
4,Tiny Dots Pencil Skirt
5,Maxed Out Black Maxi Dress
6,Hot & Bothered Pencil Skirt
7,Sequence Of Sequins Pencil Skirt
8,Grace Mock Neck Blouse In Black
9,Blue Velvet Mock Neck Top
10,Onyx Opulence Sequined Dress
11,Versatile Elegance Black Maxi Dress
12,Scalloped Lace Overlay Dress
