,DESCRIPTION:
0,Giddy UP
1,Hurricane Red
2,Honey Rose
3,Glam Doll
4,Cocoa
5,skyline
6,Currant
7,Mulled Wine
8,Sheer Beery
9,Berry
10,Lilac Lac
11,Purple Reign
12,Mauve Ice
13,Heartbreaker
14,Fire N Ice
15,Caramel Apple Diamond
16,Caramel Apple
17,Summer Sunset
18,Candy Cane
19,Dark Pink
20,Bravo
21,Hazelnut
22,Violette
23,Roseberry
24,Razzberry
25,Pomagranite
26,Pop Art Pink
27,Fleur De Lisa
28,Strawberry Shortcake
29,summer fun
30,Girlfriend
